Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Txn Fee
"0x104e0e8554f3322ea19c208fdee54bb1a82102f12fd4798823ea8b0a1e6b700a","Success","Approve Hash","9680724","2020-03-16 05:35:19","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","Synthetix: Old Deployer","0xeb3107117fead7de89cd14d463d340a2e6917769","Synthetix: protocolDAO","0 ETH","0.00037888"
"0xe19e21e25328591b691e91ee0be0f41453c687f252b7ef89ce2d3414b35bb38c","Success","Approve Hash","9680724","2020-03-16 05:35:19","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","Synthetix: Old Deployer","0xeb3107117fead7de89cd14d463d340a2e6917769","Synthetix: protocolDAO","0 ETH","0.00037888"
"0xaf22650587958a39731d8f1d63d1fbb8a08cda9027bf603e922e61b2573dfaec","Success","Approve Hash","9680724","2020-03-16 05:35:19","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","Synthetix: Old Deployer","0xeb3107117fead7de89cd14d463d340a2e6917769","Synthetix: protocolDAO","0 ETH","0.00037888"
"0xb3f9e469319f9445ff56fea5ad313b32ef5a1b23a363412bfa5ff05c8ea12ad8","Success","Approve Hash","9680717","2020-03-16 05:33:17","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","Synthetix: Old Deployer","0xeb3107117fead7de89cd14d463d340a2e6917769","Synthetix: protocolDAO","0 ETH","0.00024489"
"0x2ae3b9a2817762709b6732ed10f89b409d343c6549a3f852da7c4d7ec1cf0793","Success","Approve Hash","9680668","2020-03-16 05:16:51","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","Synthetix: Old Deployer","0xeb3107117fead7de89cd14d463d340a2e6917769","Synthetix: protocolDAO","0 ETH","0.00020792"
"0x409889ca26fb3c3d6d659b193ee5627f30221c36c0a947e25638bc291664b7de","Success","Approve Hash","9680668","2020-03-16 05:16:51","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","Synthetix: Old Deployer","0xeb3107117fead7de89cd14d463d340a2e6917769","Synthetix: protocolDAO","0 ETH","0.00012152"
"0x55556ea25a92409c69cad170001448cb3f08a18b731be3656a3404ca9fc34b00","Success","Approve Hash","9680668","2020-03-16 05:16:51","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","Synthetix: Old Deployer","0xeb3107117fead7de89cd14d463d340a2e6917769","Synthetix: protocolDAO","0 ETH","0.00012152"
"0x9031811ee281920ac82f969d883fa5ac13653cbe25a495b1d104065a125b3ff7","Success","Approve Hash","9680668","2020-03-16 05:16:51","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","Synthetix: Old Deployer","0xeb3107117fead7de89cd14d463d340a2e6917769","Synthetix: protocolDAO","0 ETH","0.00020792"
"0x42435bedf55eb8f053f2c951d873ac901feb0ecb204db443850cca41134cdbcc","Success","Approve Hash","9680668","2020-03-16 05:16:51","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","Synthetix: Old Deployer","0xeb3107117fead7de89cd14d463d340a2e6917769","Synthetix: protocolDAO","0 ETH","0.00020792"
"0x9a9cc9678a3ab222fbadecb17a9f7461d47001dbf2ee47141fd88815dbcfada3","Success","Approve Hash","9680668","2020-03-16 05:16:51","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","Synthetix: Old Deployer","0xeb3107117fead7de89cd14d463d340a2e6917769","Synthetix: protocolDAO","0 ETH","0.00012152"
"0x152637eeaa6078ddff08c63cce26e9ac7267dfec38a30cbe6c334431b3686fd5","Success","Approve Hash","9680668","2020-03-16 05:16:51","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","Synthetix: Old Deployer","0xeb3107117fead7de89cd14d463d340a2e6917769","Synthetix: protocolDAO","0 ETH","0.00013861"
"0x710df671f1d2438911eee8bdc7805c66d302a2972eff4cf7c65c1bf592ea64a1","Success","Approve Hash","9680668","2020-03-16 05:16:51","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","Synthetix: Old Deployer","0xeb3107117fead7de89cd14d463d340a2e6917769","Synthetix: protocolDAO","0 ETH","0.00013861"
"0x6fdf0fd5a7c0e1ca5462ef5cb3d815081c39a4d2ddc3c2c46a0a46ae284581b1","Success","Approve Hash","9680668","2020-03-16 05:16:51","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","Synthetix: Old Deployer","0xeb3107117fead7de89cd14d463d340a2e6917769","Synthetix: protocolDAO","0 ETH","0.00009241"
"0x9fdc38695d881caeab4aa2c39ddc2df882f72559ebdb9a37fd241dcb07fdbcaf","Error in Internal Txn : Reverted","Exec Transaction","9680506","2020-03-16 04:36:39","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","Synthetix: sDAO","0xeb3107117fead7de89cd14d463d340a2e6917769","Synthetix: protocolDAO","0 ETH","0.00026332"
